Location,Household Total,Median,Mean
"Westchester County, New York",342216.0,89709.0,141104.0
"Alamance County, North Carolina",64369.0,45100.0,60609.0
"Brunswick County, North Carolina",54331.0,50692.0,66132.0
"Buncombe County, North Carolina",103127.0,50685.0,68923.0
"Burke County, North Carolina",35211.0,40345.0,51815.0
"Cabarrus County, North Carolina",70438.0,63386.0,78726.0
"Caldwell County, North Carolina",32911.0,36301.0,50001.0
"Carteret County, North Carolina",27506.0,51206.0,64471.0
"Catawba County, North Carolina",61618.0,48913.0,65599.0
"Chatham County, North Carolina",28568.0,62961.0,94054.0
"Cleveland County, North Carolina",36405.0,36992.0,50519.0
"Craven County, North Carolina",40297.0,49938.0,67148.0
"Cumberland County, North Carolina",124014.0,45205.0,57267.0
"Davidson County, North Carolina",62695.0,45678.0,59441.0
"Durham County, North Carolina",123697.0,53832.0,77836.0
"Forsyth County, North Carolina",146219.0,48271.0,73006.0
"Gaston County, North Carolina",82982.0,48711.0,69661.0
"Guilford County, North Carolina",201520.0,47262.0,69367.0
"Harnett County, North Carolina",43960.0,51637.0,62276.0
"Henderson County, North Carolina",47791.0,54963.0,68263.0
"Iredell County, North Carolina",65037.0,55891.0,79750.0
"Johnston County, North Carolina",66254.0,54719.0,65036.0
"Lincoln County, North Carolina",31588.0,49453.0,67290.0
"Mecklenburg County, North Carolina",399504.0,62978.0,89684.0
"Moore County, North Carolina",38786.0,52279.0,72904.0
"Nash County, North Carolina",35409.0,47902.0,64941.0
"New Hanover County, North Carolina",92808.0,50028.0,70803.0
"Onslow County, North Carolina",61766.0,47150.0,56900.0
"Orange County, North Carolina",50203.0,66423.0,94564.0
"Pitt County, North Carolina",70019.0,46573.0,62944.0
"Randolph County, North Carolina",56793.0,44836.0,55496.0
"Robeson County, North Carolina",45123.0,34254.0,47961.0
"Rockingham County, North Carolina",38163.0,40985.0,50217.0
"Rowan County, North Carolina",50138.0,48379.0,62377.0
"Rutherford County, North Carolina",26982.0,36121.0,46400.0
"Surry County, North Carolina",28261.0,36802.0,59268.0
"Union County, North Carolina",74763.0,71588.0,98685.0
"Wake County, North Carolina",387771.0,76097.0,100576.0
"Wayne County, North Carolina",47240.0,41711.0,58296.0
"Wilkes County, North Carolina",28771.0,41332.0,51346.0
"Wilson County, North Carolina",30897.0,39036.0,60107.0
"Orangeburg County, South Carolina",33449.0,32450.0,46106.0
"Pickens County, South Carolina",47303.0,45779.0,64839.0
"Richland County, South Carolina",153376.0,52030.0,71025.0
"Spartanburg County, South Carolina",113463.0,47371.0,63453.0
"Sumter County, South Carolina",41439.0,40614.0,56274.0
"York County, South Carolina",98128.0,60767.0,79926.0
"Minnehaha County, South Dakota",73808.0,60038.0,75126.0
"Pennington County, South Dakota",42956.0,50950.0,67638.0
"Anderson County, Tennessee",31209.0,46055.0,61601.0
"Blount County, Tennessee",49672.0,51183.0,66674.0
"Bradley County, Tennessee",40710.0,44853.0,59809.0
"Davidson County, Tennessee",281967.0,54855.0,78234.0
"Greene County, Tennessee",25418.0,41109.0,60485.0
"Hamilton County, Tennessee",139615.0,47898.0,71471.0
"Knox County, Tennessee",183889.0,52102.0,72285.0
"Madison County, Tennessee",37322.0,41791.0,58283.0
"Maury County, Tennessee",33667.0,50591.0,64296.0
"Montgomery County, Tennessee",69427.0,56112.0,65397.0
"Putnam County, Tennessee",31343.0,37437.0,56080.0
"Robertson County, Tennessee",25302.0,60423.0,74977.0
"Rutherford County, Tennessee",111387.0,61157.0,75267.0
"Sevier County, Tennessee",36098.0,45609.0,56756.0
"Shelby County, Tennessee",354666.0,47690.0,70860.0
"Sullivan County, Tennessee",64795.0,42859.0,58135.0
"Sumner County, Tennessee",65186.0,60503.0,78533.0
"Washington County, Tennessee",52707.0,46276.0,62660.0
"Williamson County, Tennessee",73811.0,106054.0,137681.0
"Wilson County, Tennessee",47707.0,71153.0,84232.0
"Angelina County, Texas",30210.0,41161.0,55000.0
"Bastrop County, Texas",25975.0,56508.0,72650.0
"Bell County, Texas",119985.0,52275.0,68060.0
"Bexar County, Texas",628924.0,53210.0,72419.0
"Bowie County, Texas",33031.0,45997.0,67583.0
"Brazoria County, Texas",117168.0,74799.0,90604.0
"Brazos County, Texas",78272.0,41559.0,71130.0
"Cameron County, Texas",120499.0,37061.0,51206.0
"Collin County, Texas",334794.0,89638.0,113597.0
"Comal County, Texas",48604.0,77425.0,99722.0
"Coryell County, Texas",22682.0,51125.0,64622.0
"Dallas County, Texas",924789.0,54399.0,80938.0
"Denton County, Texas",281964.0,80613.0,106034.0
"Ector County, Texas",51012.0,53254.0,79688.0
"Ellis County, Texas",55586.0,70210.0,86074.0
"El Paso County, Texas",267376.0,42165.0,57072.0
"Fort Bend County, Texas",230121.0,90680.0,119536.0
"Galveston County, Texas",120938.0,64939.0,90498.0
"Grayson County, Texas",47135.0,52095.0,66350.0
"Gregg County, Texas",45231.0,44219.0,61736.0
"Guadalupe County, Texas",51935.0,68157.0,86068.0
"Harris County, Texas",1606399.0,56377.0,84551.0
"Harrison County, Texas",23742.0,46548.0,57647.0
"Hays County, Texas",71267.0,64658.0,83539.0
"Henderson County, Texas",30403.0,44088.0,64111.0
"Hidalgo County, Texas",234716.0,36176.0,53230.0
"Hunt County, Texas",31377.0,53962.0,68424.0
"Jefferson County, Texas",95801.0,45390.0,64895.0
"Johnson County, Texas",54048.0,59895.0,73321.0
"Kaufman County, Texas",36696.0,62033.0,76602.0
"Liberty County, Texas",26204.0,42877.0,65705.0
"Lubbock County, Texas",111975.0,49136.0,68557.0
"McLennan County, Texas",87163.0,46860.0,67968.0
"Midland County, Texas",56178.0,65349.0,98622.0
"Montgomery County, Texas",193637.0,71123.0,104877.0
"Nacogdoches County, Texas",23080.0,35562.0,54215.0
"Nueces County, Texas",129254.0,54318.0,70642.0
"Orange County, Texas",32538.0,53480.0,70748.0
"Parker County, Texas",44098.0,66548.0,83981.0
"Potter County, Texas",42179.0,42305.0,60695.0
"Randall County, Texas",49728.0,67015.0,87930.0
"Rockwall County, Texas",31620.0,95731.0,107103.0
"San Patricio County, Texas",23761.0,53348.0,64758.0
"Smith County, Texas",75792.0,52572.0,68343.0
"Tarrant County, Texas",696887.0,61534.0,84829.0
"Taylor County, Texas",48607.0,48803.0,63267.0
"Tom Green County, Texas",43497.0,48696.0,65974.0
"Travis County, Texas",457810.0,70158.0,100262.0
"Victoria County, Texas",32249.0,53778.0,85178.0
"Walker County, Texas",21209.0,42662.0,55950.0
"Webb County, Texas",73483.0,35659.0,53833.0
"Wichita County, Texas",49486.0,44769.0,58193.0
"Williamson County, Texas",173125.0,81818.0,98793.0
"Cache County, Utah",37151.0,58003.0,73588.0
"Davis County, Utah",103665.0,76905.0,93257.0
"Salt Lake County, Utah",366239.0,68665.0,89138.0
"Utah County, Utah",157803.0,69799.0,84827.0
"Washington County, Utah",51774.0,55056.0,74494.0
"Weber County, Utah",79501.0,63158.0,76150.0
"Chittenden County, Vermont",64867.0,68843.0,89763.0
"Albemarle County, Virginia",40318.0,71975.0,100166.0
"Arlington County, Virginia",103479.0,110388.0,143507.0
"Augusta County, Virginia",29664.0,55342.0,68377.0
"Bedford County, Virginia",29566.0,56479.0,75982.0
"Chesterfield County, Virginia",122221.0,76059.0,92479.0
"Fairfax County, Virginia",395164.0,115717.0,147335.0
"Fauquier County, Virginia",24777.0,94347.0,121672.0
"Frederick County, Virginia",30760.0,69827.0,89243.0
"Hanover County, Virginia",37931.0,83135.0,101533.0
"Henrico County, Virginia",127930.0,66337.0,93035.0
"James City County, Virginia",28480.0,83455.0,109488.0
"Loudoun County, Virginia",124916.0,134464.0,152447.0
"Montgomery County, Virginia",36128.0,55706.0,85232.0
"Prince William County, Virginia",139792.0,97986.0,113703.0
"Roanoke County, Virginia",38541.0,60454.0,81978.0
"Rockingham County, Virginia",31186.0,57755.0,77230.0
"Spotsylvania County, Virginia",44169.0,81146.0,95901.0
"Stafford County, Virginia",47017.0,97484.0,119793.0
"York County, Virginia",23797.0,89418.0,105338.0
"Alexandria city, Virginia",69875.0,87920.0,121672.0
"Chesapeake city, Virginia",83364.0,72928.0,90320.0
"Hampton city, Virginia",54181.0,50435.0,65991.0
"Lynchburg city, Virginia",27545.0,41264.0,60508.0
"Newport News city, Virginia",67628.0,50524.0,64926.0
"Norfolk city, Virginia",87910.0,46467.0,64343.0
"Portsmouth city, Virginia",36615.0,48516.0,60637.0
"Richmond city, Virginia",91704.0,42373.0,69458.0
"Roanoke city, Virginia",42213.0,37044.0,49385.0
"Suffolk city, Virginia",33377.0,66669.0,85140.0
"Virginia Beach city, Virginia",168061.0,71117.0,90576.0
"Benton County, Washington",70434.0,62508.0,80160.0
"Chelan County, Washington",28353.0,52080.0,70387.0
"Clallam County, Washington",31837.0,48587.0,60096.0
"Clark County, Washington",169997.0,69062.0,89125.0
"Cowlitz County, Washington",40170.0,50637.0,65490.0
"Franklin County, Washington",25903.0,57670.0,71699.0
"Grant County, Washington",28351.0,48335.0,61186.0
"Grays Harbor County, Washington",27330.0,49623.0,67813.0
"Island County, Washington",33365.0,64813.0,81722.0
"King County, Washington",861154.0,86095.0,116385.0
"Kitsap County, Washington",101995.0,69171.0,85625.0
"Lewis County, Washington",29509.0,45523.0,58780.0
"Burleigh County, North Dakota",39075.0,64558.0,85609.0
"Cass County, North Dakota",76206.0,59240.0,76699.0
"Grand Forks County, North Dakota",30045.0,50008.0,65489.0
"Ward County, North Dakota",27803.0,62573.0,77678.0
"Allen County, Ohio",39982.0,47592.0,60919.0
"Ashtabula County, Ohio",38728.0,42965.0,55721.0
"Athens County, Ohio",21732.0,36193.0,56230.0
"Belmont County, Ohio",27240.0,48220.0,62413.0
"Butler County, Ohio",137314.0,63273.0,80568.0
"Clark County, Ohio",54548.0,46811.0,60848.0
"Clermont County, Ohio",77925.0,60661.0,80677.0
"Columbiana County, Ohio",41469.0,47864.0,59138.0
"Cuyahoga County, Ohio",534355.0,46601.0,69704.0
"Delaware County, Ohio",68617.0,101693.0,128117.0
"Erie County, Ohio",30682.0,48949.0,73232.0
"Fairfield County, Ohio",55614.0,65316.0,81512.0
"Franklin County, Ohio",502932.0,56055.0,75539.0
"Geauga County, Ohio",35519.0,76384.0,98903.0
"Greene County, Ohio",63908.0,62018.0,82225.0
"Hamilton County, Ohio",335907.0,53229.0,77511.0
"Hancock County, Ohio",31693.0,52810.0,70192.0
"Jefferson County, Ohio",26971.0,44257.0,56107.0
"Lake County, Ohio",96325.0,61870.0,77742.0
"Licking County, Ohio",62898.0,58685.0,77785.0
"Lorain County, Ohio",117871.0,54504.0,74417.0
"Lucas County, Ohio",180217.0,44534.0,63940.0
"Mahoning County, Ohio",96998.0,42295.0,58567.0
"Marion County, Ohio",25114.0,42826.0,54192.0
"Medina County, Ohio",67812.0,72618.0,91442.0
"Miami County, Ohio",41313.0,60170.0,70339.0
"Montgomery County, Ohio",223131.0,46936.0,65800.0
"Muskingum County, Ohio",34169.0,43422.0,53368.0
"Portage County, Ohio",62468.0,49695.0,67436.0
"Richland County, Ohio",48437.0,44073.0,55670.0
"Ross County, Ohio",28710.0,46422.0,62408.0
"Scioto County, Ohio",29904.0,39210.0,54291.0
"Stark County, Ohio",152129.0,50994.0,66163.0
"Summit County, Ohio",222202.0,52036.0,70827.0
"Trumbull County, Ohio",85799.0,45552.0,60457.0
"Tuscarawas County, Ohio",34968.0,50440.0,58847.0
"Warren County, Ohio",82404.0,80207.0,105864.0
"Wayne County, Ohio",43277.0,53434.0,64910.0
"Wood County, Ohio",50175.0,60166.0,78726.0
"Canadian County, Oklahoma",44235.0,67177.0,78821.0
"Cleveland County, Oklahoma",105102.0,61288.0,75465.0
"Comanche County, Oklahoma",42986.0,51164.0,66593.0
"Creek County, Oklahoma",25658.0,43609.0,57170.0
"Muskogee County, Oklahoma",26000.0,40860.0,54551.0
"Oklahoma County, Oklahoma",300690.0,51078.0,72437.0
"Payne County, Oklahoma",30657.0,35927.0,59747.0
"Pottawatomie County, Oklahoma",25547.0,41716.0,56177.0
"Rogers County, Oklahoma",34130.0,62434.0,78871.0
"Tulsa County, Oklahoma",254473.0,51325.0,73613.0
"Wagoner County, Oklahoma",28289.0,62041.0,71480.0
"Benton County, Oregon",34543.0,55459.0,77905.0
"Clackamas County, Oregon",154070.0,74891.0,99007.0
"Deschutes County, Oregon",71262.0,61870.0,78473.0
"Douglas County, Oregon",43818.0,42889.0,60183.0
"Jackson County, Oregon",86745.0,48563.0,66160.0
"Josephine County, Oregon",35439.0,36472.0,50614.0
"Klamath County, Oregon",26359.0,45604.0,58173.0
"Lane County, Oregon",147712.0,47777.0,63747.0
"Linn County, Oregon",46645.0,51310.0,69891.0
"Marion County, Oregon",116787.0,56550.0,69379.0
"Multnomah County, Oregon",320476.0,62629.0,86044.0
"Polk County, Oregon",29291.0,52485.0,70588.0
"Umatilla County, Oregon",25900.0,50171.0,61956.0
"Washington County, Oregon",213820.0,75634.0,94948.0
"Yamhill County, Oregon",35832.0,61596.0,82136.0
"Adams County, Pennsylvania",38125.0,59300.0,72296.0
"Allegheny County, Pennsylvania",528892.0,56140.0,78027.0
"Armstrong County, Pennsylvania",26105.0,47398.0,60137.0
"Beaver County, Pennsylvania",68811.0,55221.0,69655.0
"Berks County, Pennsylvania",150402.0,59286.0,76779.0
"Blair County, Pennsylvania",51154.0,43443.0,58867.0
"Bucks County, Pennsylvania",234126.0,79936.0,106713.0
"Butler County, Pennsylvania",75472.0,66426.0,88042.0
"Cambria County, Pennsylvania",56443.0,44100.0,57562.0
"Carbon County, Pennsylvania",25986.0,51676.0,63116.0
"Centre County, Pennsylvania",57410.0,60266.0,81724.0
"Chester County, Pennsylvania",187188.0,92407.0,125605.0
"Clearfield County, Pennsylvania",29061.0,47352.0,58404.0
"Columbia County, Pennsylvania",26531.0,49186.0,64433.0
"Crawford County, Pennsylvania",33955.0,45410.0,61696.0
"Cumberland County, Pennsylvania",96906.0,63530.0,82236.0
"Dauphin County, Pennsylvania",111260.0,60331.0,77859.0
"Delaware County, Pennsylvania",205188.0,67950.0,95868.0
"Erie County, Pennsylvania",109705.0,48964.0,63819.0
"Fayette County, Pennsylvania",53662.0,43140.0,56917.0
"Franklin County, Pennsylvania",60492.0,60559.0,77464.0
"Indiana County, Pennsylvania",34786.0,42962.0,59117.0
"Lackawanna County, Pennsylvania",86203.0,47475.0,64366.0
"Lancaster County, Pennsylvania",196807.0,61335.0,79344.0
"Lawrence County, Pennsylvania",35861.0,46918.0,65697.0
"Lebanon County, Pennsylvania",51143.0,57248.0,70452.0
"Lehigh County, Pennsylvania",139199.0,60498.0,82854.0
"Luzerne County, Pennsylvania",124118.0,46580.0,64446.0
"Lycoming County, Pennsylvania",45525.0,49052.0,61228.0
"Mercer County, Pennsylvania",45630.0,49890.0,64329.0
"Monroe County, Pennsylvania",57284.0,60095.0,76141.0
"Montgomery County, Pennsylvania",312447.0,84113.0,113622.0
"Northampton County, Pennsylvania",111760.0,66438.0,83297.0
"Northumberland County, Pennsylvania",38098.0,47736.0,59110.0
"Philadelphia County, Pennsylvania",580205.0,41449.0,60857.0
"Schuylkill County, Pennsylvania",58149.0,50684.0,60421.0
"Somerset County, Pennsylvania",29189.0,43871.0,56742.0
"Washington County, Pennsylvania",83117.0,57998.0,78066.0
"Westmoreland County, Pennsylvania",148238.0,56722.0,72166.0
"York County, Pennsylvania",169885.0,62462.0,75945.0
"Kent County, Rhode Island",67747.0,63101.0,85413.0
"Newport County, Rhode Island",35078.0,73596.0,96121.0
"Providence County, Rhode Island",235728.0,52369.0,72289.0
"Washington County, Rhode Island",50368.0,77813.0,98882.0
"Aiken County, South Carolina",66751.0,45945.0,61156.0
"Anderson County, South Carolina",75432.0,45090.0,61089.0
"Beaufort County, South Carolina",67932.0,65919.0,89311.0
"Berkeley County, South Carolina",75202.0,59153.0,75759.0
"Charleston County, South Carolina",156836.0,56827.0,85601.0
"Darlington County, South Carolina",25924.0,36841.0,53488.0
"Dorchester County, South Carolina",55324.0,57637.0,71563.0
"Florence County, South Carolina",50193.0,46524.0,61747.0
"Greenville County, South Carolina",187957.0,55342.0,75932.0
"Greenwood County, South Carolina",27533.0,38200.0,52756.0
"Horry County, South Carolina",125562.0,45621.0,61572.0
"Lancaster County, South Carolina",32630.0,56216.0,77045.0
"Laurens County, South Carolina",24805.0,44038.0,56140.0
"Lexington County, South Carolina",110146.0,57382.0,75343.0
"Oconee County, South Carolina",31498.0,43743.0,64615.0
"Kenton County, Kentucky",63609.0,62182.0,75830.0
"McCracken County, Kentucky",28416.0,39048.0,58737.0
"Madison County, Kentucky",33633.0,43840.0,57059.0
"Oldham County, Kentucky",21180.0,90341.0,109184.0
"Warren County, Kentucky",47444.0,46686.0,66862.0
"Ascension Parish, Louisiana",40950.0,76581.0,89121.0
"Bossier Parish, Louisiana",47458.0,48163.0,63752.0
"Caddo Parish, Louisiana",96532.0,37104.0,60857.0
"Calcasieu Parish, Louisiana",77029.0,45962.0,62016.0
"East Baton Rouge Parish, Louisiana",163764.0,50508.0,76485.0
"Iberia Parish, Louisiana",26240.0,41424.0,54106.0
"Jefferson Parish, Louisiana",170710.0,49678.0,70728.0
"Lafayette Parish, Louisiana",89130.0,49969.0,73667.0
"Lafourche Parish, Louisiana",37199.0,51772.0,63414.0
"Livingston Parish, Louisiana",47479.0,56534.0,75554.0
"Orleans Parish, Louisiana",154355.0,38681.0,67259.0
"Ouachita Parish, Louisiana",54349.0,37275.0,55761.0
"Rapides Parish, Louisiana",47745.0,42582.0,64374.0
"St. Landry Parish, Louisiana",30302.0,31207.0,47493.0
"St. Tammany Parish, Louisiana",92205.0,64639.0,84610.0
"Tangipahoa Parish, Louisiana",47756.0,48162.0,63700.0
"Terrebonne Parish, Louisiana",40102.0,46026.0,65676.0
"Androscoggin County, Maine",44917.0,49081.0,61439.0
"Aroostook County, Maine",27514.0,39450.0,53954.0
"Cumberland County, Maine",118049.0,65913.0,86255.0
"Kennebec County, Maine",47791.0,51573.0,64429.0
"Penobscot County, Maine",60195.0,47328.0,62849.0
"York County, Maine",82469.0,60863.0,77704.0
"Allegany County, Maryland",27608.0,45606.0,55306.0
"Anne Arundel County, Maryland",206956.0,96483.0,117437.0
"Baltimore County, Maryland",312921.0,72764.0,93346.0
"Calvert County, Maryland",32434.0,98732.0,115072.0
"Carroll County, Maryland",61661.0,90343.0,107119.0
"Cecil County, Maryland",37296.0,74221.0,89209.0
"Charles County, Maryland",55929.0,95735.0,108865.0
"Frederick County, Maryland",89800.0,90043.0,108353.0
"Harford County, Maryland",91813.0,84175.0,99781.0
"Howard County, Maryland",112542.0,120941.0,144125.0
"Montgomery County, Maryland",373346.0,99763.0,135151.0
"Prince George's County, Maryland",307816.0,79184.0,93945.0
"St. Mary's County, Maryland",41368.0,78195.0,91785.0
"Washington County, Maryland",55824.0,54250.0,71499.0
"Wicomico County, Maryland",36774.0,50844.0,65237.0
"Baltimore city, Maryland",240761.0,47350.0,69831.0
"Barnstable County, Massachusetts",92582.0,67898.0,91777.0
"Berkshire County, Massachusetts",54204.0,58418.0,76180.0
"Bristol County, Massachusetts",214232.0,66027.0,84886.0
"Essex County, Massachusetts",289817.0,73901.0,100606.0
"Franklin County, Massachusetts",30868.0,57106.0,77060.0
"Hampden County, Massachusetts",178623.0,51544.0,69278.0
"Hampshire County, Massachusetts",58167.0,64354.0,85559.0
"Middlesex County, Massachusetts",593437.0,95249.0,122927.0
"Norfolk County, Massachusetts",260609.0,92696.0,130123.0
"Plymouth County, Massachusetts",184577.0,82087.0,103580.0
"Suffolk County, Massachusetts",306790.0,61796.0,93319.0
"Worcester County, Massachusetts",304833.0,69295.0,89825.0
"Allegan County, Michigan",41995.0,57846.0,69842.0
"Bay County, Michigan",43876.0,44756.0,60261.0
"Berrien County, Michigan",62538.0,47083.0,67902.0
"Calhoun County, Michigan",52888.0,45902.0,61465.0
"Clinton County, Michigan",28944.0,65730.0,83894.0
"Eaton County, Michigan",44666.0,56211.0,70485.0
"Genesee County, Michigan",167171.0,43955.0,60115.0
"Pierce County, Washington",317671.0,64434.0,82680.0
"Skagit County, Washington",46423.0,60983.0,77921.0
"Snohomish County, Washington",286116.0,78716.0,95507.0
"Spokane County, Washington",195807.0,53043.0,71032.0
"Thurston County, Washington",105863.0,65783.0,79165.0
"Whatcom County, Washington",84011.0,56411.0,71154.0
"Yakima County, Washington",81084.0,48965.0,65675.0
"Berkeley County, West Virginia",42369.0,57357.0,76559.0
"Cabell County, West Virginia",39017.0,38823.0,56454.0
"Harrison County, West Virginia",27741.0,47204.0,69040.0
"Kanawha County, West Virginia",79049.0,45001.0,64515.0
"Monongalia County, West Virginia",38699.0,50953.0,78117.0
"Raleigh County, West Virginia",30431.0,45863.0,57049.0
"Wood County, West Virginia",34991.0,48655.0,65006.0
"Brown County, Wisconsin",104804.0,57783.0,75008.0
"Dane County, Wisconsin",217506.0,70796.0,91445.0
"Dodge County, Wisconsin",34648.0,55856.0,66121.0
"Eau Claire County, Wisconsin",41312.0,49821.0,65878.0
"Fond du Lac County, Wisconsin",40815.0,58310.0,71268.0
"Jefferson County, Wisconsin",32378.0,58703.0,67493.0
"Kenosha County, Wisconsin",64386.0,59417.0,76061.0
"La Crosse County, Wisconsin",47086.0,54823.0,71375.0
"Manitowoc County, Wisconsin",34234.0,51752.0,63032.0
"Marathon County, Wisconsin",55147.0,54774.0,73258.0
"Milwaukee County, Wisconsin",381318.0,47607.0,66092.0
"Outagamie County, Wisconsin",72994.0,61149.0,77501.0
"Ozaukee County, Wisconsin",35417.0,84415.0,118529.0
"Portage County, Wisconsin",28009.0,53655.0,69242.0
"Racine County, Wisconsin",75921.0,55706.0,70257.0
"Rock County, Wisconsin",63222.0,50729.0,65404.0
"St. Croix County, Wisconsin",33460.0,72865.0,92297.0
"Sheboygan County, Wisconsin",47652.0,54059.0,70716.0
"Walworth County, Wisconsin",40039.0,58302.0,73449.0
"Washington County, Wisconsin",53090.0,73502.0,92617.0
"Waukesha County, Wisconsin",156503.0,81878.0,107347.0
"Winnebago County, Wisconsin",69943.0,56754.0,75399.0
"Wood County, Wisconsin",32749.0,51887.0,69621.0
"Laramie County, Wyoming",38181.0,62221.0,73885.0
"Natrona County, Wyoming",32059.0,59474.0,73781.0
"Arecibo Municipio, Puerto Rico",32650.0,18516.0,24277.0
"Caguas Municipio, Puerto Rico",48272.0,24198.0,36895.0
"Carolina Municipio, Puerto Rico",63447.0,28055.0,35950.0
"Guaynabo Municipio, Puerto Rico",33066.0,32240.0,59895.0
"Ponce Municipio, Puerto Rico",52447.0,17454.0,26323.0
"San Juan Municipio, Puerto Rico",146719.0,22727.0,42517.0
"Toa Alta Municipio, Puerto Rico",22394.0,26171.0,39685.0
"Toa Baja Municipio, Puerto Rico",28112.0,23560.0,30844.0
"Trujillo Alto Municipio, Puerto Rico",24334.0,33122.0,42200.0
"Mayagüez Municipio, Puerto Rico",29138.0,14532.0,24786.0
"Bayamón Municipio, Puerto Rico",70124.0,24128.0,35256.0
